frequency,period,currency,flow_timing,days,valid_days,linked_return,invalid_reasons,net_flow,flow_adjusted_gain
M,2021-06,BTC,MID,30,30,0.3690229406118384,,-300.021,389.14526193874116
M,2021-06,USD,BOD,30,30,0.2813081537277541,,-10667539.594504911,11881380.222539697
M,2021-06,USD,EOD,30,30,0.2908178686437713,,-10680730.162309559,11894570.790344344
M,2021-06,USD,MID,30,30,0.28655844789070795,,-10674134.878407234,11887975.50644202
M,2021-07,BTC,BOD,31,31,0.4264848422566424,,-300.05,413.1349974576854
M,2021-07,BTC,EOD,31,31,0.4280744085469991,,-300.05,413.1349974576854
M,2021-07,BTC,MID,31,31,0.42737515628700123,,-300.05,413.1349974576854
M,2021-07,USD,BOD,31,31,0.7001778418858378,,-11235306.992193883,22282664.59433037
M,2021-07,USD,EOD,31,31,0.7020723908533526,,-11739918.413455088,22787276.015591577
M,2021-07,USD,MID,31,31,0.7014167683355204,,-11487612.702824485,22534970.304960974
M,2021-08,BTC,BOD,31,31,0.6707468209239618,,-400.05,653.6995796502747
M,2021-08,BTC,EOD,31,31,0.6487009713987735,,-400.05,653.6995796502747
M,2021-08,BTC,MID,31,31,0.6580968666703813,,-400.05,653.6995796502747
M,2021-08,USD,BOD,31,31,0.8876560697518794,,-17983993.216959987,35672668.50106937
M,2021-08,USD,EOD,31,31,0.8627480578688798,,-18661076.94506241,36349752.22917178
M,2021-08,USD,MID,31,31,0.8737748215342378,,-18322535.0810112,36011210.365120575
M,2021-09,BTC,BOD,30,30,0.6027749485013452,,-600.1,562.2860993569526
M,2021-09,BTC,EOD,30,30,0.6120009753325522,,-600.1,562.2860993569526
M,2021-09,BTC,MID,30,30,0.6080261413405728,,-600.1,562.2860993569526
M,2021-09,USD,BOD,30,30,0.48608827052192916,,-27888794.984998062,21742625.71351307
M,2021-09,USD,EOD,30,30,0.49464261576559376,,-28421285.750540264,22275116.47905527
M,2021-09,USD,MID,30,30,0.49092291051427583,,-28155040.36776916,22008871.096284166
M,2021-10,BTC,BOD,31,31,-0.36955974005057235,,0.0,-468.77633149650876
M,2021-10,BTC,EOD,31,31,-0.36955974005057235,,0.0,-468.77633149650876
M,2021-10,BTC,MID,31,31,-0.36955974005057235,,0.0,-468.77633149650876
M,2021-10,USD,BOD,31,31,-0.11538487923258312,,0.0,-6407978.062121108
M,2021-10,USD,EOD,31,31,-0.11538487923258312,,0.0,-6407978.062121108
M,2021-10,USD,MID,31,31,-0.11538487923258312,,0.0,-6407978.062121108
M,2021-11,BTC,BOD,30,30,0.08563099954350739,,0.0,68.47877392980604
M,2021-11,BTC,EOD,30,30,0.08563099954350739,,0.0,68.47877392980604
M,2021-11,BTC,MID,30,30,0.08563099954350739,,0.0,68.47877392980604
M,2021-11,USD,BOD,30,30,0.00900684123524845,,0.0,442485.43754001707
M,2021-11,USD,EOD,30,30,0.00900684123524845,,0.0,442485.43754001707
M,2021-11,USD,MID,30,30,0.00900684123524845,,0.0,442485.43754001707
M,2021-12,BTC,BOD,31,31,-0.08382391021809045,,0.0,-72.7738102932368
M,2021-12,BTC,EOD,31,31,-0.08382391021809045,,0.0,-72.7738102932368
M,2021-12,BTC,MID,31,31,-0.08382391021809045,,0.0,-72.7738102932368
M,2021-12,USD,BOD,31,31,-0.25618787991491987,,0.0,-12699281.94832243
M,2021-12,USD,EOD,31,31,-0.25618787991491987,,0.0,-12699281.94832243
M,2021-12,USD,MID,31,31,-0.25618787991491987,,0.0,-12699281.94832243
