time,symbol,execcomm,lastqty
2018-10-08 12:00:00,XBTUSD,2,1
2018-10-08 20:00:00,ETHUSD,-19,1
2018-10-08 20:00:00,XBTUSD,5,1
2018-10-09 04:00:00,XBTUSD,2,1
2018-10-09 04:00:00,ETHUSD,-10,1
2018-10-09 12:00:00,XBTUSD,2,1
2018-10-09 12:00:00,ETHUSD,-18,1
2018-10-09 20:00:00,ETHUSD,-20,1
2018-10-09 20:00:00,XBTUSD,7,1
2018-10-10 04:00:00,XBTUSD,7,1
2018-10-10 04:00:00,ETHUSD,-16,1
2018-10-10 12:00:00,XBTUSD,4,1
2018-10-10 12:00:00,ETHUSD,-7,1
2018-10-10 20:00:00,ETHUSD,-29,1
2018-10-10 20:00:00,XBTUSD,-5,1
2018-10-11 04:00:00,ETHUSD,-19,1
2018-10-11 04:00:00,XBTUSD,-1205477,750001
2018-10-11 12:00:00,ETHUSD,-3,1
2018-10-11 12:00:00,XBTUSD,-1213877,750001
2018-10-11 20:00:00,ETHUSD,7,1
2018-10-11 20:00:00,XBTUSD,1613702,1000001
2018-10-12 04:00:00,XBTUSD,-2,1
2018-10-12 04:00:00,ETHUSD,-2,1
2018-10-12 12:00:00,ETHUSD,2,1
2018-10-12 12:00:00,XBTUSD,805598,499999
2018-10-12 20:00:00,XBTUSD,-2,1
2018-10-12 20:00:00,ETHUSD,-2,1
2018-10-13 04:00:00,ETHUSD,7,1
2018-10-13 04:00:00,XBTUSD,-2,1
2018-10-13 12:00:00,XBTUSD,0,1
2018-10-13 12:00:00,ETHUSD,-2,1
2018-10-13 20:00:00,ETHUSD,12,1
2018-10-13 20:00:00,XBTUSD,10,1
2018-10-14 04:00:00,XBTUSD,4,1
2018-10-14 04:00:00,ETHUSD,-2,1
2018-10-14 12:00:00,XBTUSD,-2,1
2018-10-14 12:00:00,ETHUSD,-15,1
2018-10-14 20:00:00,ETHUSD,2,1
2018-10-14 20:00:00,XBTUSD,2,1
